rank,file,class,method,pattern_id,pattern_name,similarity_score,confidence,ast_score,control_flow_score,methods_score,operators_score,tokens_score,snippet_preview
15,dados\commons-lang\src\test\java\org\apache\commons\lang3\function\FailableTest.java,FailableTest,,resource-leak,Resource Leak,0.9200,0.9360,0.3500,0.2500,0.2000,0.1000,0.0200,
16,dados\commons-lang\src\test\java\org\apache\commons\lang3\function\FailableTest.java,FailableTest,,resource-leak,Resource Leak,0.9200,0.9360,0.3500,0.2500,0.2000,0.1000,0.0200,
17,dados\commons-lang\src\test\java\org\apache\commons\lang3\text\StrSubstitutorTest.java,StrSubstitutorTest,,resource-leak,Resource Leak,0.9200,0.9360,0.3500,0.2500,0.2000,0.1000,0.0200,
18,dados\commons-lang\src\main\java\org\apache\commons\lang3\CharSet.java,CharSet,,missing-null-check,Missing Null Check,0.9167,0.9333,0.3500,0.2500,0.2000,0.1000,0.0167,
19,dados\commons-lang\src\main\java\org\apache\commons\lang3\Streams.java,Streams,,resource-leak,Resource Leak,0.9167,0.9333,0.3500,0.2500,0.2000,0.1000,0.0167,
20,dados\commons-lang\src\main\java\org\apache\commons\lang3\mutable\MutableBoolean.java,MutableBoolean,,resource-leak,Resource Leak,0.9167,0.9333,0.3500,0.2500,0.2000,0.1000,0.0167,
21,dados\commons-lang\src\main\java\org\apache\commons\lang3\mutable\MutableBoolean.java,MutableBoolean,,resource-leak,Resource Leak,0.9167,0.9333,0.3500,0.2500,0.2000,0.1000,0.0167,
22,dados\commons-lang\src\main\java\org\apache\commons\lang3\stream\Streams.java,Streams,,resource-leak,Resource Leak,0.9167,0.9333,0.3500,0.2500,0.2000,0.1000,0.0167,
23,dados\commons-lang\src\main\java\org\apache\commons\lang3\text\StrBuilder.java,,,resource-leak,Resource Leak,0.9167,0.9333,0.3500,0.2500,0.2000,0.1000,0.0167,
24,dados\commons-lang\src\main\java\org\apache\commons\lang3\util\FluentBitSet.java,FluentBitSet,,missing-null-check,Missing Null Check,0.9167,0.9333,0.3500,0.2500,0.2000,0.1000,0.0167,
25,dados\commons-lang\src\test\java\org\apache\commons\lang3\CharSequenceUtilsTest.java,CharSequenceUtilsTest,,missing-null-check,Missing Null Check,0.9167,0.9333,0.3500,0.2500,0.2000,0.1000,0.0167,
26,dados\commons-lang\src\test\java\org\apache\commons\lang3\JavaVersionTest.java,JavaVersionTest,,missing-null-check,Missing Null Check,0.9167,0.9333,0.3500,0.2500,0.2000,0.1000,0.0167,
27,dados\commons-lang\src\test\java\org\apache\commons\lang3\StringUtilsEqualsIndexOfTest.java,StringUtilsEqualsIndexOfTest,,missing-null-check,Missing Null Check,0.9167,0.9333,0.3500,0.2500,0.2000,0.1000,0.0167,
28,dados\commons-lang\src\test\java\org\apache\commons\lang3\builder\JsonToStringStyleTest.java,JsonToStringStyleTest,,missing-null-check,Missing Null Check,0.9167,0.9333,0.3500,0.2500,0.2000,0.1000,0.0167,
29,dados\commons-lang\src\test\java\org\apache\commons\lang3\builder\ReflectionToStringBuilderMutateInspectConcurrencyTest.java,ReflectionToStringBuilderMutateInspectConcurrencyTest,,missing-null-check,Missing Null Check,0.9167,0.9333,0.3500,0.2500,0.2000,0.1000,0.0167,
30,dados\commons-lang\src\test\java\org\apache\commons\lang3\concurrent\locks\LockingVisitorsTest.java,LockingVisitorsTest,,missing-null-check,Missing Null Check,0.9167,0.9333,0.3500,0.2500,0.2000,0.1000,0.0167,
31,dados\commons-lang\src\test\java\org\apache\commons\lang3\reflect\Lang1703Test.java,Lang1703Test,,missing-null-check,Missing Null Check,0.9167,0.9333,0.3500,0.2500,0.2000,0.1000,0.0167,
32,dados\commons-lang\src\test\java\org\apache\commons\lang3\reflect\TypeUtilsTest.java,TypeUtilsTest,,missing-null-check,Missing Null Check,0.9167,0.9333,0.3500,0.2500,0.2000,0.1000,0.0167,
33,dados\commons-lang\src\test\java\org\apache\commons\lang3\stream\IntStreamsTest.java,IntStreamsTest,,missing-null-check,Missing Null Check,0.9167,0.9333,0.3500,0.2500,0.2000,0.1000,0.0167,
34,dados\commons-lang\src\test\java\org\apache\commons\lang3\stream\StreamsTest.java,StreamsTest,,missing-null-check,Missing Null Check,0.9167,0.9333,0.3500,0.2500,0.2000,0.1000,0.0167,
35,dados\commons-lang\src\main\java\org\apache\commons\lang3\ObjectUtils.java,ObjectUtils,,missing-null-check,Missing Null Check,0.9154,0.9323,0.3500,0.2500,0.2000,0.1000,0.0154,
36,dados\commons-lang\src\main\java\org\apache\commons\lang3\concurrent\BasicThreadFactory.java,BasicThreadFactory,,resource-leak,Resource Leak,0.9154,0.9323,0.3500,0.2500,0.2000,0.1000,0.0154,
37,dados\commons-lang\src\main\java\org\apache\commons\lang3\mutable\MutableObject.java,MutableObject,,missing-null-check,Missing Null Check,0.9143,0.9314,0.3500,0.2500,0.2000,0.1000,0.0143,
38,dados\commons-lang\src\main\java\org\apache\commons\lang3\reflect\TypeUtils.java,TypeUtils,,missing-null-check,Missing Null Check,0.9143,0.9314,0.3500,0.2500,0.2000,0.1000,0.0143,
39,dados\commons-lang\src\main\java\org\apache\commons\lang3\reflect\TypeUtils.java,TypeUtils,,missing-null-check,Missing Null Check,0.9143,0.9314,0.3500,0.2500,0.2000,0.1000,0.0143,
40,dados\commons-lang\src\main\java\org\apache\commons\lang3\reflect\TypeUtils.java,TypeUtils,,missing-null-check,Missing Null Check,0.9143,0.9314,0.3500,0.2500,0.2000,0.1000,0.0143,
41,dados\commons-lang\src\main\java\org\apache\commons\lang3\text\StrBuilder.java,,,resource-leak,Resource Leak,0.9143,0.9314,0.3500,0.2500,0.2000,0.1000,0.0143,
42,dados\commons-lang\src\main\java\org\apache\commons\lang3\util\IterableStringTokenizer.java,IterableStringTokenizer,,missing-null-check,Missing Null Check,0.9143,0.9314,0.3500,0.2500,0.2000,0.1000,0.0143,
43,dados\commons-lang\src\test\java\org\apache\commons\lang3\builder\JsonToStringStyleTest.java,JsonToStringStyleTest,,missing-null-check,Missing Null Check,0.9143,0.9314,0.3500,0.2500,0.2000,0.1000,0.0143,
44,dados\commons-lang\src\test\java\org\apache\commons\lang3\builder\NoClassNameToStringStyleTest.java,NoClassNameToStringStyleTest,,missing-null-check,Missing Null Check,0.9143,0.9314,0.3500,0.2500,0.2000,0.1000,0.0143,
45,dados\commons-lang\src\test\java\org\apache\commons\lang3\builder\SimpleToStringStyleTest.java,SimpleToStringStyleTest,,missing-null-check,Missing Null Check,0.9143,0.9314,0.3500,0.2500,0.2000,0.1000,0.0143,
46,dados\commons-lang\src\test\java\org\apache\commons\lang3\stream\LangCollectorsTest.java,LangCollectorsTest,,missing-null-check,Missing Null Check,0.9143,0.9314,0.3500,0.2500,0.2000,0.1000,0.0143,
47,dados\commons-lang\src\main\java\org\apache\commons\lang3\ObjectUtils.java,ObjectUtils,,missing-null-check,Missing Null Check,0.9133,0.9307,0.3500,0.2500,0.2000,0.1000,0.0133,
48,dados\commons-lang\src\main\java\org\apache\commons\lang3\time\FastDateParser.java,FastDateParser,,missing-null-check,Missing Null Check,0.9125,0.9300,0.3500,0.2500,0.2000,0.1000,0.0125,
49,dados\commons-lang\src\test\java\org\apache\commons\lang3\BooleanUtilsTest.java,BooleanUtilsTest,,missing-null-check,Missing Null Check,0.9125,0.9300,0.3500,0.2500,0.2000,0.1000,0.0125,
50,dados\commons-lang\src\main\java\org\apache\commons\lang3\builder\ReflectionToStringBuilder.java,,,missing-null-check,Missing Null Check,0.9111,0.9289,0.3500,0.2500,0.2000,0.1000,0.0111,
